게임 이름,플랫폼 이름,이미지,원가,할인율,할인가,장르,연령 등급,유저 평점,유저 리뷰,사이트 URL
Granblue Fantasy Versus: Rising - Additional Character Set (Galleon),Steam,https://image.directg.net/upload/product/goods_1749706967_simg.jpg,"\9,500",11%,"\8,500",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005486
Granblue Fantasy Versus: Rising - Character Costume: Sinborne Redeemer (Seox),Steam,https://image.directg.net/upload/product/goods_1749707102_simg.jpg,"\5,800",14%,"\5,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005487
Onimusha 2: Samurai's Destiny,Steam,https://image.directg.net/upload/product/goods_1742375847_simg.jpg,"\34,800",16%,"\29,300",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005326
9 Kings,Steam,https://image.directg.net/upload/product/goods_1750729211_simg.jpg,"\19,900",할인 없음,"\19,900",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005418
Blades of Fire,Epic Games,https://image.directg.net/upload/product/goods_1747731283_simg.jpg,"\63,000",할인 없음,"\63,000",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005433
Deliver At All Costs,Steam,https://image.directg.net/upload/product/goods_1747733962_simg.jpg,"\47,600",16%,"\39,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005434
Onimusha 1+2 Pack,Steam,https://image.directg.net/upload/product/goods_1748308913_simg.jpg,"\43,600",12%,"\38,500",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005439
Survive the Fall,Steam,https://image.directg.net/upload/product/goods_1748481191_simg.jpg,"\28,000",8%,"\25,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005447
Survive the Fall - Ultimate Edition,Steam,https://image.directg.net/upload/product/goods_1748482003_simg.jpg,"\43,500",9%,"\39,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005448
Survive the Fall - Digital Supporter Edition,Steam,https://image.directg.net/upload/product/goods_1748484832_simg.jpg,"\30,200",8%,"\27,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005450
Bloodshed,Steam,https://image.directg.net/upload/product/goods_1750905795_simg.jpg,"\14,500",9%,"\13,200",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005533
Monster Train 2,Steam,https://image.directg.net/upload/product/goods_1747877232_simg.jpg,"\27,000",11%,"\24,000",전략/시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005435
RoadCraft,Steam,https://image.directg.net/upload/product/goods_1740374788_simg.jpg,"\50,000",할인 없음,"\50,000",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005260
RoadCraft – Rebuild Edition,Steam,https://image.directg.net/upload/product/goods_1740375552_simg.jpg,"\61,800",할인 없음,"\61,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005261
Capcom Fighting Collection 2,Steam,https://image.directg.net/upload/product/goods_1741226761_simg.jpg,"\44,800",12%,"\39,500",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005296
Hearts of Iron IV: Prototype Vehicles,Steam,https://image.directg.net/upload/product/goods_1747622979_simg.jpg,"\8,000",10%,"\7,200",전략,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005402
Blacksmith Master,Steam,https://image.directg.net/upload/product/goods_1747018902_simg.jpg,"\19,900",할인 없음,"\19,900",전략/시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005410
DOOM: The Dark Ages - Premium Upgrade,Steam,https://image.directg.net/upload/product/goods_1747365913_simg.jpg,"\36,000",14%,"\31,000",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005419
DOOM: The Dark Ages,Steam,https://image.directg.net/upload/product/goods_1750311417_simg.jpg,"\79,800",19%,"\64,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005503
DOOM: The Dark Ages - Premium Edition,Steam,https://image.directg.net/upload/product/goods_1750311432_simg.jpg,"\114,000",19%,"\92,800",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005504
Revenge of the Savage Planet,Steam,https://image.directg.net/upload/product/goods_1745890607_simg.jpg,"\31,500",5%,"\29,800",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005396
Revenge of the Savage Planet Cosmic Hoarder Edition,Steam,https://image.directg.net/upload/product/goods_1745890844_simg.jpg,"\42,000",5%,"\39,800",액션/어드벤쳐,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005397
Vambrace: Dungeon Monarch,Steam,https://image.directg.net/upload/product/goods_1750904835_simg.jpg,"\16,500",7%,"\15,400",전략/시뮬레이션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005532
Dead by Daylight - Steady Pulse,Steam,https://image.directg.net/upload/product/goods_1753336222_simg.jpg,"\5,500",51%,"\2,700",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005607
Stellaris: BioGenesis,Steam,https://image.directg.net/upload/product/goods_1742866101_simg.jpg,"\28,000",8%,"\25,800",전략,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005337
Astral Ascent - The Outer Reaches,Steam,https://image.directg.net/upload/product/goods_1747099583_simg.jpg,"\11,000",10%,"\9,900",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005415
