게임 이름,원가,할인가,사이트 URL,할인율,유저 평점,유저 리뷰,플랫폼 이름,이미지,장르,연령 등급
Europa Universalis IV: Art of War Collection,"\4,600","\4,400",https://directg.net/game/game_page.html?product_code=10000928,4%,,,Steam,https://image.directg.net/upload/product/goods_1477540592_simg.jpg,전략,12세 이용가
Dungeon of the ENDLESS,"\13,000","\13,000",https://directg.net/game/game_page.html?product_code=50004361,0%,,,Steam,https://image.directg.net/upload/product/goods_1694744104_simg.jpg,액션,15세 이용가
Tropico 5 - Generalissimo,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10000938,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549704_simg.jpg,전략,12세 이용가
The Evil Within,"\23,000","\21,800",https://directg.net/game/game_page.html?product_code=50005064,5%,,,Steam,https://image.directg.net/upload/product/goods_1731476989_simg.jpg,액션,19세 이용가
Crusader Kings II: The Song of Roland Ebook,"\2,500","\2,300",https://directg.net/game/game_page.html?product_code=10000962,8%,,,Steam,https://image.directg.net/upload/product/goods_1511325378_simg.jpg,전략,12세 이용가
Borderlands: The Pre-Sequel,"\43,000","\43,000",https://directg.net/game/game_page.html?product_code=10001259,0%,,,Steam,https://image.directg.net/upload/product/goods_1657093313_simg.jpg,롤플레잉,19세 이용가
Borderlands: The Pre-sequel Season Pass,"\32,000","\32,000",https://directg.net/game/game_page.html?product_code=10001260,0%,,,Steam,https://image.directg.net/upload/product/goods_1483581138_simg.jpg,롤플레잉,19세 이용가
Crusader Kings II: Early Western Clothing Pack,"\2,500","\2,300",https://directg.net/game/game_page.html?product_code=10000897,8%,,,Steam,https://image.directg.net/upload/product/goods_1477545587_simg.jpg,전략,12세 이용가
Crusader Kings II: Early Eastern Clothing Pack,"\2,500","\2,300",https://directg.net/game/game_page.html?product_code=10000898,8%,,,Steam,https://image.directg.net/upload/product/goods_1477545565_simg.jpg,전략,12세 이용가
Crusader Kings II: Dynasty Shields Charlemagne,"\2,500","\2,300",https://directg.net/game/game_page.html?product_code=10000899,8%,,,Steam,https://image.directg.net/upload/product/goods_1477542607_simg.jpg,전략,12세 이용가
Crusader Kings II: Charlemagne,"\17,000","\15,400",https://directg.net/game/game_page.html?product_code=10000900,9%,,,Steam,https://image.directg.net/upload/product/goods_1477564526_simg.jpg,전략,12세 이용가
Hegemony Rome: The Rise of Caesar - Mercenaries Pack,"\5,000","\4,900",https://directg.net/game/game_page.html?product_code=10000895,2%,,,Steam,https://image.directg.net/upload/product/goods_1473398186_simg.jpg,전략,15세 이용가
The Vanishing of Ethan Carter,"\21,000","\19,900",https://directg.net/game/game_page.html?product_code=10001256,5%,,,Steam,https://image.directg.net/upload/product/goods_1477473672_simg.jpg,어드벤쳐,19세 이용가
Tropico 5 - Mad World,"\4,700","\3,900",https://directg.net/game/game_page.html?product_code=10000893,17%,,,Steam,https://image.directg.net/upload/product/goods_1477549721_simg.jpg,전략,12세 이용가
Remember Me,"\28,200","\26,400",https://directg.net/game/game_page.html?product_code=10000360,6%,,,Steam,https://image.directg.net/upload/product/goods_1477546674_simg.jpg,액션,15세 이용가
Resident Evil / Biohazard: Revelations,"\26,100","\26,100",https://directg.net/game/game_page.html?product_code=10000403,0%,,,Steam,https://image.directg.net/upload/product/goods_1477546898_simg.jpg,액션,19세 이용가
Euro Truck Simulator 2 - High Power Cargo Pack,"\6,000","\5,900",https://directg.net/game/game_page.html?product_code=50003618,2%,,,Steam,https://image.directg.net/upload/product/goods_1660877093_simg.jpg,시뮬레이션,전체 이용가
